Year,cluster,Country,Co2Emission,GDP,En_per_cap
1990,0,Austria,7.91,165000000000,3213.89
1991,0,Austria,8.45,172000000000,3381.07
1992,0,Austria,7.78,193000000000,3256.05
1993,0,Austria,7.34,188000000000,3229.32
1994,0,Austria,7.26,201000000000,3221.34
1995,0,Austria,7.62,238000000000,3356.75
1996,0,Austria,7.67,234000000000,3559.87
1997,0,Austria,7.7,207000000000,3536.66
1998,0,Austria,7.96,212000000000,3594.19
1999,0,Austria,7.72,211000000000,3580.25
2000,0,Austria,7.71,191000000000,3566.05
2001,0,Austria,7.91,190000000000,3761.81
2002,0,Austria,8.06,206000000000,3779.36
2003,0,Austria,8.91,252000000000,3974.89
2004,0,Austria,8.82,289000000000,3978.52
2005,0,Austria,9.03,303000000000,4123.59
2006,0,Austria,8.71,322000000000,4076.09
2007,0,Austria,8.29,372000000000,4008.35
2008,0,Austria,8.12,415000000000,4016.6
1990,1,Canada,16.2,583000000000,7504.78
1991,1,Canada,15.94,598000000000,7504.78
1992,1,Canada,16.4,580000000000,7388.56
1993,1,Canada,16.58,564000000000,7480.03
1994,1,Canada,15.61,564000000000,7641.83
1995,1,Canada,15.66,591000000000,7834.87
1996,1,Canada,15.77,614000000000,7861.67
1997,1,Canada,16.11,638000000000,7956.97
1998,1,Canada,15.83,617000000000,7965.75
1999,1,Canada,15.67,661000000000,7837.8
2000,1,Canada,17.47,725000000000,8010.93
2001,1,Canada,16.96,715000000000,8171.99
2002,1,Canada,16.64,735000000000,7974.98
2003,1,Canada,17.47,866000000000,7914.66
2004,1,Canada,17.37,992000000000,8272.44
2005,1,Canada,17.42,1130000000000,8364.4
2006,1,Canada,16.81,1280000000000,8424.31
2007,1,Canada,16.5,1420000000000,8224.34
2008,1,Canada,16.33,1500000000000,8248.28
1990,2,China,2.17,357000000000,760.19
1991,2,China,2.25,379000000000,744.49
1992,2,China,2.31,423000000000,760.35
1993,2,China,2.44,441000000000,795.39
1994,2,China,2.57,559000000000,822.49
1995,2,China,2.76,728000000000,869.19
1996,2,China,2.84,856000000000,891.01
1997,2,China,2.82,953000000000,883.99
1998,2,China,2.68,1020000000000,874.06
1999,2,China,2.65,1080000000000,866.72
2000,2,China,2.7,1200000000000,867.13
2001,2,China,2.74,1320000000000,858.11
2002,2,China,2.89,1450000000000,922.92
2003,2,China,3.51,1640000000000,1043.97
2004,2,China,4.08,1930000000000,1209.74
2005,2,China,4.44,2260000000000,1301.19
2006,2,China,4.89,2710000000000,1414.15
2007,2,China,5.15,3490000000000,1490.26
2008,2,China,5.31,4520000000000,1598.52
1990,3,Germany,0,1710000000000,4423.9
1991,3,Germany,12.01,1810000000000,4306.24
1992,3,Germany,11.51,2060000000000,4194.99
1993,3,Germany,11.23,2000000000000,4127.77
1994,3,Germany,11.09,2150000000000,4090.42
1995,3,Germany,11.04,2520000000000,4128.42
1996,3,Germany,11.28,2440000000000,4252.97
1997,3,Germany,10.97,2160000000000,4208.46
1998,3,Germany,10.91,2180000000000,4184.79
1999,3,Germany,10.04,2140000000000,4088.57
2000,3,Germany,10.12,1900000000000,4102.83
2001,3,Germany,10.39,1890000000000,4219.19
2002,3,Germany,10.07,2020000000000,4111.94
2003,3,Germany,10.12,2440000000000,4144.34
2004,3,Germany,10.04,2750000000000,4163.33
2005,3,Germany,9.82,2790000000000,4107
2006,3,Germany,9.86,2920000000000,4142.24
2007,3,Germany,9.57,3330000000000,4033.17
2008,3,Germany,9.58,3630000000000,4076.28
1990,4,United Kingdom,9.96,1010000000000,3597.01
1991,4,United Kingdom,10.34,1060000000000,3708.49
1992,4,United Kingdom,10.2,1090000000000,3685.49
1993,4,United Kingdom,9.83,981000000000,3712.17
1994,4,United Kingdom,9.74,1060000000000,3729.12
1995,4,United Kingdom,9.73,1160000000000,3727.46
1996,4,United Kingdom,9.98,1220000000000,3878.06
1997,4,United Kingdom,9.5,1360000000000,3759.68
1998,4,United Kingdom,9.47,1460000000000,3786.86
1999,4,United Kingdom,9.13,1500000000000,3783.76
2000,4,United Kingdom,9.23,1480000000000,3785.48
2001,4,United Kingdom,9.31,1470000000000,3785.79
2002,4,United Kingdom,8.97,1610000000000,3682.24
2003,4,United Kingdom,9.08,1860000000000,3731.13
2004,4,United Kingdom,9.12,2200000000000,3706.63
2005,4,United Kingdom,9.01,2280000000000,3692.26
2006,4,United Kingdom,8.97,2440000000000,3613.87
2007,4,United Kingdom,8.68,2810000000000,3447.62
2008,4,United Kingdom,8.52,2660000000000,3390.31
1990,5,India,0.81,317000000000,372.85
1991,5,India,0.85,268000000000,380.24
1992,5,India,0.89,246000000000,388.1
1993,5,India,0.91,276000000000,389.69
1994,5,India,0.94,324000000000,397.57
1995,5,India,0.99,356000000000,412.24
1996,5,India,1.06,388000000000,418.1
1997,5,India,1.08,411000000000,426.97
1998,5,India,1.09,416000000000,429.92
1999,5,India,1.15,450000000000,448.78
2000,5,India,1.17,460000000000,450.05
2001,5,India,1.17,478000000000,449.89
2002,5,India,1.17,507000000000,455.36
2003,5,India,1.2,599000000000,459.88
2004,5,India,1.25,722000000000,480.34
2005,5,India,1.29,834000000000,491.43
2006,5,India,1.36,951000000000,509.1
2007,5,India,1.43,1240000000000,530.37
2008,5,India,1.53,1210000000000,543.02
1990,6,Italy,7.48,1130000000000,2583.9
1991,6,Italy,7.65,1200000000000,2645.67
1992,6,Italy,7.62,1270000000000,2627.31
1993,6,Italy,7.44,1020000000000,2611.95
1994,6,Italy,7.25,1050000000000,2578.42
1995,6,Italy,7.7,1130000000000,2799.32
1996,6,Italy,7.53,1260000000000,2796.03
1997,6,Italy,7.6,1190000000000,2834.22
1998,6,Italy,7.76,1220000000000,2912.72
1999,6,Italy,7.68,1200000000000,2957.04
2000,6,Italy,7.83,1100000000000,3011.88
2001,6,Italy,7.85,1120000000000,3021.06
2002,6,Italy,7.86,1220000000000,3016.17
2003,6,Italy,8.13,1510000000000,3114.73
2004,6,Italy,8.09,1730000000000,3128.31
2005,6,Italy,8.04,1780000000000,3137.38
2006,6,Italy,7.94,1860000000000,3089.51
2007,6,Italy,7.74,2120000000000,3016.32
2008,6,Italy,7.44,2300000000000,2942.62
1990,7,Japan,8.86,3060000000000,3556.14
1991,7,Japan,8.88,3480000000000,3583.48
1992,7,Japan,9.05,3800000000000,3658.55
1993,7,Japan,8.9,4350000000000,3674.05
1994,7,Japan,9.4,4780000000000,3867.5
1995,7,Japan,9.44,5260000000000,3956.08
1996,7,Japan,9.59,4640000000000,4031.99
1997,7,Japan,9.53,4260000000000,4064.21
1998,7,Japan,9.17,3860000000000,3981.14
1999,7,Japan,9.46,4370000000000,4045.35
2000,7,Japan,9.61,4670000000000,4090.38
2001,7,Japan,9.46,4100000000000,4017.15
2002,7,Japan,9.55,3920000000000,4004.67
2003,7,Japan,9.69,4230000000000,3963.47
2004,7,Japan,9.86,4610000000000,4089.39
2005,7,Japan,9.69,4550000000000,4073.75
2006,7,Japan,9.64,4360000000000,4068.52
2007,7,Japan,9.79,4380000000000,4031.99
2008,7,Japan,9.46,4880000000000,3880.45
1990,8,Saudi Arabia,13.33,117000000000,3702.79
1991,8,Saudi Arabia,16.11,131000000000,4175
1992,8,Saudi Arabia,16.69,136000000000,4609.38
1993,8,Saudi Arabia,17.85,132000000000,4579.61
1994,8,Saudi Arabia,17.14,134000000000,4775
1995,8,Saudi Arabia,12.7,142000000000,4734.29
1996,8,Saudi Arabia,13.76,158000000000,4954.29
1997,8,Saudi Arabia,11.4,165000000000,4690.49
1998,8,Saudi Arabia,10.76,146000000000,4922.25
1999,8,Saudi Arabia,11.61,161000000000,4935.51
2000,8,Saudi Arabia,14.85,188000000000,5054.8
2001,8,Saudi Arabia,14.3,183000000000,5157.1
2002,8,Saudi Arabia,15.07,189000000000,5449.05
2003,8,Saudi Arabia,14.49,215000000000,5434.78
2004,8,Saudi Arabia,14.91,250000000000,6190.54
2005,8,Saudi Arabia,15.27,316000000000,6053.81
2006,8,Saudi Arabia,15.46,357000000000,6379.74
2007,8,Saudi Arabia,15.57,385000000000,5650.43
2008,8,Saudi Arabia,16.57,476000000000,5888.25
1990,9,United States,19.55,5750000000000,7671.55
1991,9,United States,19.25,5930000000000,7631.52
1992,9,United States,19.01,6260000000000,7677.39
1993,9,United States,19.88,6580000000000,7709.84
1994,9,United States,19.87,6990000000000,7757.14
1995,9,United States,19.67,7340000000000,7763.37
1996,9,United States,19.84,7750000000000,7844.01
1997,9,United States,20.18,8260000000000,7828.54
1998,9,United States,19.75,8740000000000,7803.65
1999,9,United States,19.81,9300000000000,7923.25
2000,9,United States,19.54,9900000000000,8056.55
2001,9,United States,18.91,10200000000000,7825.18
2002,9,United States,18.89,10600000000000,7838.52
2003,9,United States,18.85,11100000000000,7788.32
2004,9,United States,18.99,11800000000000,7875.28
2005,9,United States,18.92,12600000000000,7840.53
2006,9,United States,18.47,13300000000000,7691.69
2007,9,United States,18.51,14000000000000,7749.23
2008,9,United States,17.94,14300000000000,7481.02
